日期,证券代码,交易方向,成交股数,成交价,手续费,印花税
2026-04-30,002292,买入,200,8.31,0,0
2026-06-04,002292,买入,100,7.06,0,0
2026-06-04,002292,买入,200,7.12,0,0
2026-06-04,600362,买入,100,46.41,0,0
2026-06-04,513350,买入,700,1.265,0,0
2026-06-08,002837,买入,100,63.35,0,0
2026-06-09,513350,买入,500,1.266,0,0
2026-06-11,600362,买入,200,40.10,0,0
2026-06-12,600362,卖出,200,41.78,0,0
2026-06-12,002292,卖出,500,6.83,0,0
2026-06-12,002837,卖出,100,67.57,0,0
2026-06-15,000100,买入,800,4.58,0,0
2026-06-15,000100,买入,800,4.61,0,0
2026-06-17,600999,买入,100,19.01,0,0
2026-06-17,600999,买入,300,19.23,0,0
